Indeks,Komentar,Label,Label_Validator
1,@𝙈𝙖𝙥𝙡𝙖𝙮𝟕𝟖𝟗 🖤 withdraw never die🖤,1,1.0
2,@𝙈𝙖𝙥𝙡𝙖𝙮𝟕𝟖𝟗 💚congratulations💚,1,1.0
3,@macanhoki789 💛💜 only one brother💜💛,1,1.0
4,@macanhoki789 💛💜 give up brother💜💛,1,1.0
5,pulen pulen,5,5.0
6,tebalik anj,3,3.0
7,🐦 angkut semua icibossss🔥,5,5.0
8,@macanhoki789 💛💜alwasy for you baby💜💛,1,1.0
9,4 cewe ini gaada apa apa nya ama kara mah🤣,3,3.0
10,mahalan yudi,3,3.0
11,peluk boleh tu 🤣🤣🤣🤣,5,5.0
12,cewe kaya gitu banyak saingan nya 😭😭😭,3,0.0
13,intinya pulen wes ngono wae🥵🥵,5,5.0
14,the real pulennnn🔥🔥,5,5.0
15,wanita penghibur😹,5,3.0
16,gua cuma punya video nya dinda yg 3 lagi pernah error gak?,5,5.0
17,semua sudah ahli kawen full style😊😊😊,5,5.0
18,ada semua gw ini koleksi nya wkwk,5,5.0
19,tar aceng lgiii😭😭🗿,5,5.0
20,99nya emang empuk kayaknya 😆😆😆,5,5.0
21,𝐆𝐒𝐎 𝟕𝟖𝟗 🥰💚 slalu baik bosku 💚🥰,1,1.0
22,babon kabeh,3,3.0
23,mksudnya gimna??? menurutku yg hitam paling gede😅,5,5.0
24,spek pinoy semua,4,0.0
25,tobrut bet,5,5.0
26,@𝐑𝐌𝐀789 💚 stay always nice 💚,1,1.0
27,kirakira termasuk genre milf kah?? 🗿,5,5.0
28,woww sexy nya 🍑,5,5.0
29,auto focus kita emang paling aktif kalo liat beginian ya bre 😂😂,5,5.0
30,@𝐑𝐌𝐀789 💚 stay calm nice 💚,1,1.0
31,@𝐑𝐌𝐀789 💫never give up bro💫,1,1.0
32,@𝐑𝐌𝐀789 💫never surender bro💫,1,1.0
33,enak banget ni kakaknya cok,5,5.0
34,bergetar icibosss 🥰,5,5.0
35,😂😂😂😂fkis tttt,5,5.0
36,bagi mentahan gw tf 50 k,5,5.0
37,penglihatan gue baju lingerie🤣🤣🤣,5,5.0
38,ambil win parlay madrid dortmun arsenal aston max bet,1,1.0
39,@suge789 🎃🎃congratulations bro🎃🎃,1,1.0
40,@suge789 terbaik bosku,1,1.0
42,tadi malem tembus tiga parlay mayan 18jt buat jajan lebaran,1,1.0
43,@ᴍᴀᴄᴀɴʜᴏᴋɪ789 🌼stand with mee🌼🌼,1,1.0
44,1 minggu jp parlay 3x😁,1,1.0
45,lah main parlay dikira main togel sama slot😂,1,1.0
46,tadi subuh habis wd 6 juta bre,1,1.0
47,semalam full l1🗿,1,1.0
48,LINK0 masuk sini grup prediksi parlayyyy,1,1.0
49,tidak menerima grup parlay lebih yyakin feeling sendiri😅,1,1.0
50,orang pintar mana yang percaya ucapan pintarmu😂,3,3.0
51,gw semalam doang 3 bill jp semua bre,1,1.0
52,LINK0 grup diskusi mix parlay on 24 jam derr gaskan der biar ga l1,1,1.0
53,yang mau nitip parplay ucl malam inii LINK0 ramaein lekkuu,1,1.0
54,LINK0 gas langsung masuk yang mau masang parlay banyak mafia lek🤟🏻🤟🏻,1,1.0
55,kalau mau belajar pasang parlay atau mau gabung grub prediksi parlay ke sini aja LINK0,1,1.0
56,grup parlay LINK0,1,1.0
57,@suge789 💚never give up bro💚,1,1.0
58,70 under sih liga italia mah,1,1.0
59,under brp bg?,1,1.0
60,info link yg gampang buat masang,1,1.0
61,milan anying🗿,3,4.0
62,mana aq pegang roma lagi ini nanti nge por 3 4 parma🥺🥺😂😂,1,1.0
63,asli anj pada tidur maen nya,3,3.0
64,LINK0 gass masuk sini grup diskusi parlay terbuka 24 jam grupnya khusus untuk share bill dan berbagi ilmu jangan biarkan ada l1 di bill malam ini lee🥳,1,1.0
65,LINK0 grup diskusi mix parlay on 24 jam der gaskan der biar ga l1,1,1.0
66,itali seri a aduh bet over yg ada ngabisin duit😹,1,1.0
69,@suge789 💜💛 only one brother💛💜,1,1.0
70,@ᴍᴀᴄᴀɴʜᴏᴋɪ789 best on top🍍🍍,1,1.0
71,@suge789 🀄 stay with me 🀄,1,1.0
72,@macanhoki789 ✨💙 beautiful💙💙,1,1.0
73,@suge789 ✨nice always✨,1,1.0
74,@macanhoki789 💞good performance💞,1,1.0
75,@ᴍᴀᴄᴀɴʜᴏᴋɪ789 🍇present here🍇,1,1.0
