Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
18649,ya allah ampuni para gen z yg melebihi ekspektasi ini🤲🏻,ya allah ampuni para gen z yg melebihi ekspektasi ini emoji_palms_up_together_light_skin_tone,ya allah ampuni para gen z yg melebihi ekspektasi ini emoji_palms_up_together_light_skin_tone,0,0
66468,kira kira kapan ya bisa naik gunung kembar nya masih alami ga ya,kira kira kapan ya bisa naik gunung kembar nya masih alami ga ya,kira kira kapan ya bisa naik gunung kembar nya masih alami ga ya,0,0
15631,Buat pegawai nya klu kerja jangan asal kerja yaa belajar yg bnr bnr nnti klu sudah pinter dan punya modal buka usaha sendirii,buat pegawai nya klu kerja jangan asal kerja yaa belajar yg bnr bnr nnti klu sudah pinter dan punya modal buka usaha sendirii,buat pegawai nya klu kerja jangan asal kerja ya belajar yg benar benar nanti klu sudah pintar dan punya modal buka usaha sendiri,1,1
15913,Akhirnya paham kenapa semua orang ramein ☯ＡＬＥＸＩＳ１７☯,akhirnya paham kenapa semua orang ramein emoji_yin_yang alexis17 emoji_yin_yang,akhirnya paham kenapa semua orang ramai emoji_yin_yang alexis17 emoji_yin_yang,1,1
8663,hot di kalau di jos,hot di kalau di jos,hot di kalau di joss,5,5
6814,wah mbak tubu nya mantap😎😎,wah mbak tubu nya mantap emoji_smiling_face_with_sunglasses emoji_smiling_face_with_sunglasses,wah mbak tubu nya mantap emoji_smiling_face_with_sunglasses emoji_smiling_face_with_sunglasses,5,5
12444,cadel bgt lu,cadel bgt lu,cadel banget lu,3,3
532,@servercuan33 🍁always top number 1🍁,mention_servercuan33 emoji_maple_leaf always top number 1 emoji_maple_leaf,mention_servercuan33 emoji_maple_leaf selalu top nomor 1 emoji_maple_leaf,1,1
33560,iya kan kak padahal tinggal skip aja walaupun kita bukan org jawa tapi cobalah respect,iya kan kak padahal tinggal skip aja walaupun kita bukan org jawa tapi cobalah respect,iya kan kak padahal tinggal skip aja walaupun kita bukan orang jawa tapi cobalah hormati,0,0
63118,rumah nya dimana ak datang hahahahahah,rumah nya dimana ak datang hahahahahah,rumah nya di mana ak datang hahaha,0,0
8542,saya gak munafik liat yg mantul2 auto klik😂,saya gak munafik liat yg mantul2 auto klik emoji_face_with_tears_of_joy,saya gak munafik liat yg mantul auto klik emoji_face_with_tears_of_joy,5,5
16961,"Cepet, aman, terpercaya, itu kesan saya tentang ⛈M̲A̲N̲D̲A̲L̲I̲K̲A̲7̲7̲⛈.","cepet, aman, terpercaya, itu kesan saya tentang emoji_cloud_with_lightning_and_rain mandalika77 emoji_cloud_with_lightning_and_rain .","cepet, aman, terpercaya, itu kesan saya tentang emoji_cloud_with_lightning_and_rain mandalika77 emoji_cloud_with_lightning_and_rain .",1,1
9285,calo slot 😂,calo slot emoji_face_with_tears_of_joy,calo slot emoji_face_with_tears_of_joy,1,1
12905,jadi psk k dubay,jadi psk k dubay,jadi psk k Dubai,3,3
67792,ini kalo d barengin ehhh,ini kalo d barengin ehhh,ini kalo d bareng eh,0,0
